name	media type	episode count	dates aired	rating	url
Koukaku Kidoutai: Stand Alone Complex - Tachikoma na Hibi	Special	26	2002-10-01 00:00:00	7.23	https://myanimelist.net/anime/1335/Koukaku_Kidoutai__Stand_Alone_Complex_-_Tachikoma_na_Hibi
Koukaku Kidoutai S.A.C. 2nd GIG	TV	26	2004-01-01 00:00:00	8.54	https://myanimelist.net/anime/801/Koukaku_Kidoutai_SAC_2nd_GIG
Koukaku Kidoutai: Stand Alone Complex - Tachikoma na Hibi Fan Disc	Special	3	2004-02-25 00:00:00	6.61	https://myanimelist.net/anime/10949/Koukaku_Kidoutai__Stand_Alone_Complex_-_Tachikoma_na_Hibi_Fan_Disc
Koukaku Kidoutai 2: Innocence	Movie	1	2004-03-06 00:00:00	7.87	https://myanimelist.net/anime/468/Koukaku_Kidoutai_2__Innocence
Koukaku Kidoutai: Stand Alone Complex 2nd GIG - Tachikoma na Hibi	Special	26	2004-09-10 00:00:00	7.29	https://myanimelist.net/anime/3485/Koukaku_Kidoutai__Stand_Alone_Complex_2nd_GIG_-_Tachikoma_na_Hibi
Koukaku Kidoutai STAND ALONE COMPLEX The Laughing Man	Special	1	2005-09-23 00:00:00	8.16	https://myanimelist.net/anime/2449/Koukaku_Kidoutai_STAND_ALONE_COMPLEX_The_Laughing_Man
Koukaku Kidoutai: Stand Alone Complex - The Laughing Man - Tachikoma na Hibi	Special	1	2005-09-23 00:00:00	6.92	https://myanimelist.net/anime/10947/Koukaku_Kidoutai__Stand_Alone_Complex_-_The_Laughing_Man_-_Tachikoma_na_Hibi
Koukaku Kidoutai S.A.C. 2nd GIG Individual Eleven	Special	1	2006-01-27 00:00:00	8.08	https://myanimelist.net/anime/2448/Koukaku_Kidoutai_SAC_2nd_GIG_Individual_Eleven
Koukaku Kidoutai: Stand Alone Complex Complex 2nd GIG - Individual Eleven - Tachikoma na Hibi	Special	1	2006-01-27 00:00:00	7.05	https://myanimelist.net/anime/10948/Koukaku_Kidoutai__Stand_Alone_Complex_Complex_2nd_GIG_-_Individual_Eleven_-_Tachikoma_na_Hibi
TANK S.W.A.T. 01	OVA	1	2006-03-24 00:00:00	5.05	https://myanimelist.net/anime/2181/TANK_SWAT_01
Koukaku Kidoutai Stand Alone Complex - Solid State Society	Special	1	2006-09-01 00:00:00	8.17	https://myanimelist.net/anime/1566/Koukaku_Kidoutai_Stand_Alone_Complex_-_Solid_State_Society
La Rose de Versailles	Special	1	2007	5.73	https://myanimelist.net/anime/5415/La_Rose_de_Versailles
Nodame Cantabile	TV	23	2007-01-12 00:00:00	8.38	https://myanimelist.net/anime/1698/Nodame_Cantabile
Koukaku Kidoutai: Stand Alone Complex - Tachikoma na Hibi (TV)	TV	12	2007-05-02 00:00:00	7.39	https://myanimelist.net/anime/10870/Koukaku_Kidoutai__Stand_Alone_Complex_-_Tachikoma_na_Hibi_TV
Koukaku Kidoutai Stand Alone Complex - Solid State Society - Uchikoma na Hibi	Special	1	2007-07-24 00:00:00	7.06	https://myanimelist.net/anime/3447/Koukaku_Kidoutai_Stand_Alone_Complex_-_Solid_State_Society_-_Uchikoma_na_Hibi
Kindaichi Shounen no Jikenbo Specials	Special	2	2007-11-12 00:00:00	7.36	https://myanimelist.net/anime/3245/Kindaichi_Shounen_no_Jikenbo_Specials
Nodame Cantabile: Nodame to Chiaki no Umi Monogatari	Special	1	2008-02-16 00:00:00	7.44	https://myanimelist.net/anime/3965/Nodame_Cantabile__Nodame_to_Chiaki_no_Umi_Monogatari
Koukaku Kidoutai 2.0	Movie	1	2008-07-12 00:00:00	8.06	https://myanimelist.net/anime/4672/Koukaku_Kidoutai_20
Nodame Cantabile: Paris-hen	TV	11	2008-10-10 00:00:00	8.22	https://myanimelist.net/anime/4477/Nodame_Cantabile__Paris-hen
Nodame Cantabile OVA	OVA	1	2009-08-10 00:00:00	7.53	https://myanimelist.net/anime/6187/Nodame_Cantabile_OVA
Nodame Cantabile: Finale	TV	11	2010-01-15 00:00:00	8.32	https://myanimelist.net/anime/5690/Nodame_Cantabile__Finale
Nodame Cantabile: Finale - Mine to Kiyora no Saikai	Special	1	2010-04-07 00:00:00	7.89	https://myanimelist.net/anime/8038/Nodame_Cantabile__Finale_-_Mine_to_Kiyora_no_Saikai
Nodame Cantabile: Finale OVA	OVA	1	2010-04-26 00:00:00	7.64	https://myanimelist.net/anime/8190/Nodame_Cantabile__Finale_OVA
Koukaku Kidoutai S.A.C. Solid State Society 3D	Movie	1	2011-03-26 00:00:00	7.83	https://myanimelist.net/anime/10090/Koukaku_Kidoutai_SAC_Solid_State_Society_3D
Koukaku Kidoutai S.A.C. Solid State Society 3D - Tachikoma na Hibi	Special	3	2011-07-22 00:00:00	6.91	https://myanimelist.net/anime/10950/Koukaku_Kidoutai_SAC_Solid_State_Society_3D_-_Tachikoma_na_Hibi
Kindaichi Shounen no Jikenbo: Kuromajutsu Satsujin Jiken-hen	OVA	2	2012-12-17 00:00:00	7.14	https://myanimelist.net/anime/15819/Kindaichi_Shounen_no_Jikenbo__Kuromajutsu_Satsujin_Jiken-hen
Shingeki no Kyojin	TV	25	2013-04-07 00:00:00	8.48	https://myanimelist.net/anime/16498/Shingeki_no_Kyojin
