name	media type	episode count	dates aired	rating	url
Dragon Ball Z Movie 06: Gekitotsu!! 100-oku Power no Senshi-tachi	Movie	1	1992-03-07 00:00:00	6.99	https://myanimelist.net/anime/899/Dragon_Ball_Z_Movie_06__Gekitotsu_100-oku_Power_no_Senshi-tachi
Dragon Ball Z Movie 07: Kyokugen Battle!! Sandai Super Saiyajin	Movie	1	1992-07-11 00:00:00	7.04	https://myanimelist.net/anime/900/Dragon_Ball_Z_Movie_07__Kyokugen_Battle_Sandai_Super_Saiyajin
Lupin III: Russia yori Ai wo Komete	Special	1	1992-07-24 00:00:00	6.81	https://myanimelist.net/anime/1420/Lupin_III__Russia_yori_Ai_wo_Komete
Ushio to Tora	OVA	10	1992-09-11 00:00:00	7.22	https://myanimelist.net/anime/842/Ushio_to_Tora
Tetsuwan Atom no Koutsuu Anzen	OVA	1	1993	6.44	https://myanimelist.net/anime/39358/Tetsuwan_Atom_no_Koutsuu_Anzen
Dragon Ball Z Special 2: Zetsubou e no Hankou!! Nokosareta Chousenshi - Gohan to Trunks	Special	1	1993-02-24 00:00:00	7.81	https://myanimelist.net/anime/985/Dragon_Ball_Z_Special_2__Zetsubou_e_no_Hankou_Nokosareta_Chousenshi_-_Gohan_to_Trunks
Dragon Ball Z Movie 08: Moetsukiro!! Nessen, Ressen, Chougekisen	Movie	1	1993-03-06 00:00:00	7.50	https://myanimelist.net/anime/901/Dragon_Ball_Z_Movie_08__Moetsukiro_Nessen_Ressen_Chougekisen
Kenyuu Densetsu Yaiba	TV	52	1993-04-09 00:00:00	7.16	https://myanimelist.net/anime/2335/Kenyuu_Densetsu_Yaiba
Ghost Sweeper GS Mikami	TV	45	1993-04-11 00:00:00	7.25	https://myanimelist.net/anime/2400/Ghost_Sweeper_GS_Mikami
Dr. Slump Movie 06: Arale-chan N-cha! Penguin Mura wa Hare Nochi Hare	Movie	1	1993-06-03 00:00:00	6.30	https://myanimelist.net/anime/7816/Dr_Slump_Movie_06__Arale-chan_N-cha_Penguin_Mura_wa_Hare_Nochi_Hare
Dr. Slump Movie 07: Arale-chan N-cha! Penguin Mura yori Ai wo Komete	Movie	1	1993-07-10 00:00:00	6.33	https://myanimelist.net/anime/7157/Dr_Slump_Movie_07__Arale-chan_N-cha_Penguin_Mura_yori_Ai_wo_Komete
Dragon Ball Z Movie 09: Ginga Girigiri!! Bucchigiri no Sugoi Yatsu	Movie	1	1993-07-10 00:00:00	7.28	https://myanimelist.net/anime/902/Dragon_Ball_Z_Movie_09__Ginga_Girigiri_Bucchigiri_no_Sugoi_Yatsu
Lupin III: Lupin Ansatsu Shirei	Special	1	1993-07-23 00:00:00	7.02	https://myanimelist.net/anime/1438/Lupin_III__Lupin_Ansatsu_Shirei
Dragon Ball Z: Saiya-jin Zetsumetsu Keikaku	OVA	2	1993-07-23 00:00:00	6.97	https://myanimelist.net/anime/984/Dragon_Ball_Z__Saiya-jin_Zetsumetsu_Keikaku
Casshern: Robot Hunter	OVA	4	1993-08-21 00:00:00	6.45	https://myanimelist.net/anime/1598/Casshern__Robot_Hunter
Ushio to Tora: Comical Deformer Gekijou	OVA	1	1993-10-01 00:00:00	6.27	https://myanimelist.net/anime/5308/Ushio_to_Tora__Comical_Deformer_Gekijou
Time Bokan Oudou Fukko	OVA	2	1993-11-26 00:00:00	6.22	https://myanimelist.net/anime/4578/Time_Bokan_Oudou_Fukko
Dragon Ball Z: Zenbu Misemasu Toshi Wasure Dragon Ball Z!	Special	1	1993-12-31 00:00:00	6.75	https://myanimelist.net/anime/22699/Dragon_Ball_Z__Zenbu_Misemasu_Toshi_Wasure_Dragon_Ball_Z
Go! Go! Ackman	OVA	1	1994	6.20	https://myanimelist.net/anime/6413/Go_Go_Ackman
Dr. Slump Movie 08: Arale-chan Hoyoyo!! Tasuketa Same ni Tsurerarete...	Movie	1	1994-03-12 00:00:00	6.24	https://myanimelist.net/anime/8548/Dr_Slump_Movie_08__Arale-chan_Hoyoyo_Tasuketa_Same_ni_Tsurerarete
Dragon Ball Z Movie 10: Kiken na Futari! Super Senshi wa Nemurenai	Movie	1	1994-03-12 00:00:00	6.99	https://myanimelist.net/anime/903/Dragon_Ball_Z_Movie_10__Kiken_na_Futari_Super_Senshi_wa_Nemurenai
Shin Cutey Honey	OVA	8	1994-04-21 00:00:00	6.69	https://myanimelist.net/anime/2497/Shin_Cutey_Honey
Dr. Slump Movie 09: Arale-chan N-cha!! Wakuwaku Hot no Natsuyasumi	Movie	1	1994-07-09 00:00:00	6.36	https://myanimelist.net/anime/7158/Dr_Slump_Movie_09__Arale-chan_N-cha_Wakuwaku_Hot_no_Natsuyasumi
Dragon Ball Z Movie 11: Super Senshi Gekiha!! Katsu no wa Ore da	Movie	1	1994-07-09 00:00:00	6.12	https://myanimelist.net/anime/904/Dragon_Ball_Z_Movie_11__Super_Senshi_Gekiha_Katsu_no_wa_Ore_da
Uchuu no Kishi Tekkaman Blade II	OVA	6	1994-07-21 00:00:00	6.37	https://myanimelist.net/anime/1460/Uchuu_no_Kishi_Tekkaman_Blade_II
Lupin III: Moeyo Zantetsuken!	Special	1	1994-07-29 00:00:00	7.15	https://myanimelist.net/anime/1417/Lupin_III__Moeyo_Zantetsuken
GS Mikami: Gokuraku Daisakusen!!	Movie	1	1994-08-20 00:00:00	6.67	https://myanimelist.net/anime/3037/GS_Mikami__Gokuraku_Daisakusen
Gatchaman	OVA	3	1994-10-01 00:00:00	6.50	https://myanimelist.net/anime/3154/Gatchaman
Uchuu no Kishi Tekkaman Blade OVA: Twin Blood	OVA	1	1994-11-17 00:00:00	7.08	https://myanimelist.net/anime/2300/Uchuu_no_Kishi_Tekkaman_Blade_OVA__Twin_Blood
Dragon Ball Z Movie 12: Fukkatsu no Fusion!! Gokuu to Vegeta	Movie	1	1995-03-04 00:00:00	7.67	https://myanimelist.net/anime/905/Dragon_Ball_Z_Movie_12__Fukkatsu_no_Fusion_Gokuu_to_Vegeta
Lupin III: Kutabare! Nostradamus	Movie	1	1995-04-22 00:00:00	7.43	https://myanimelist.net/anime/1419/Lupin_III__Kutabare_Nostradamus
Dragon Ball Z Movie 13: Ryuuken Bakuhatsu!! Gokuu ga Yaraneba Dare ga Yaru	Movie	1	1995-07-15 00:00:00	7.48	https://myanimelist.net/anime/906/Dragon_Ball_Z_Movie_13__Ryuuken_Bakuhatsu_Gokuu_ga_Yaraneba_Dare_ga_Yaru
Lupin III: Harimao no Zaihou wo Oe!!	Special	1	1995-08-04 00:00:00	7.07	https://myanimelist.net/anime/1434/Lupin_III__Harimao_no_Zaihou_wo_Oe
Detective Conan	TV	Unknown	1996-01-08 00:00:00	8.25	https://myanimelist.net/anime/235/Detective_Conan
Dragon Ball GT	TV	64	1996-02-07 00:00:00	6.64	https://myanimelist.net/anime/225/Dragon_Ball_GT
Dragon Ball Movie 4: Saikyou e no Michi	Movie	1	1996-03-02 00:00:00	7.26	https://myanimelist.net/anime/893/Dragon_Ball_Movie_4__Saikyou_e_no_Michi
Lupin III: Dead or Alive	Movie	1	1996-04-20 00:00:00	7.25	https://myanimelist.net/anime/1416/Lupin_III__Dead_or_Alive
Kochira Katsushikaku Kameari Kouenmae Hashutsujo	TV	373	1996-06-16 00:00:00	7.80	https://myanimelist.net/anime/3545/Kochira_Katsushikaku_Kameari_Kouenmae_Hashutsujo
Lupin III: Twilight Gemini no Himitsu	Special	1	1996-08-02 00:00:00	7.10	https://myanimelist.net/anime/1436/Lupin_III__Twilight_Gemini_no_Himitsu
Alps no Shoujo Heidi: Alm no Yama-hen	Movie	1	1996-08-21 00:00:00	6.58	https://myanimelist.net/anime/9548/Alps_no_Shoujo_Heidi__Alm_no_Yama-hen
Alps no Shoujo Heidi: Heidi to Clara-hen	Movie	1	1996-08-21 00:00:00	6.62	https://myanimelist.net/anime/9549/Alps_no_Shoujo_Heidi__Heidi_to_Clara-hen
Shin Hurricane Polymar	OVA	2	1996-09-21 00:00:00	5.92	https://myanimelist.net/anime/3398/Shin_Hurricane_Polymar
Cutey Honey F	TV	39	1997-02-15 00:00:00	6.61	https://myanimelist.net/anime/1853/Cutey_Honey_F
Dragon Ball GT: Gokuu Gaiden! Yuuki no Akashi wa Suushinchuu	Special	1	1997-03-26 00:00:00	6.65	https://myanimelist.net/anime/987/Dragon_Ball_GT__Gokuu_Gaiden_Yuuki_no_Akashi_wa_Suushinchuu
Detective Conan Movie 01: The Timed Skyscraper	Movie	1	1997-04-19 00:00:00	7.95	https://myanimelist.net/anime/779/Detective_Conan_Movie_01__The_Timed_Skyscraper
Cutey Honey Flash: The Movie	Movie	1	1997-07-12 00:00:00	6.11	https://myanimelist.net/anime/6496/Cutey_Honey_Flash__The_Movie
Chokin Senshi Cashman	OVA	1	1997-07-29 00:00:00	5.75	https://myanimelist.net/anime/6484/Chokin_Senshi_Cashman
Lupin III: Walther P38	Special	1	1997-08-01 00:00:00	7.41	https://myanimelist.net/anime/1439/Lupin_III__Walther_P38
Dr. Slump	TV	74	1997-11-26 00:00:00	7.07	https://myanimelist.net/anime/3312/Dr_Slump
Sazae-san: Dawn to Ikka de Hawaii Ryokou	Special	1	1998	6.20	https://myanimelist.net/anime/28615/Sazae-san__Dawn_to_Ikka_de_Hawaii_Ryokou
Dr. Slump: Robot Taiketsu! Shukuteki Dr. Mashirito Toujou / Keen de Yuushou!? Penguin Grand Prix	Special	1	1998-04-01 00:00:00	6.23	https://myanimelist.net/anime/30449/Dr_Slump__Robot_Taiketsu_Shukuteki_Dr_Mashirito_Toujou___Keen_de_Yuushou_Penguin_Grand_Prix
Detective Conan Movie 02: The Fourteenth Target	Movie	1	1998-04-18 00:00:00	7.98	https://myanimelist.net/anime/780/Detective_Conan_Movie_02__The_Fourteenth_Target
Golgo 13: Queen Bee	OVA	1	1998-05-21 00:00:00	6.66	https://myanimelist.net/anime/1761/Golgo_13__Queen_Bee
Lupin III: Honoo no Kioku - Tokyo Crisis	Special	1	1998-07-24 00:00:00	7.28	https://myanimelist.net/anime/1437/Lupin_III__Honoo_no_Kioku_-_Tokyo_Crisis
One Piece: Taose! Kaizoku Ganzack	OVA	1	1998-07-26 00:00:00	6.82	https://myanimelist.net/anime/466/One_Piece__Taose_Kaizoku_Ganzack
