name	media type	episode count	dates aired	rating
Detective Conan	TV	Unknown	1996-01-08 00:00:00	8.25
Dragon Ball GT	TV	64	1996-02-07 00:00:00	6.64
Dragon Ball Movie 4: Saikyou e no Michi	Movie	1	1996-03-02 00:00:00	7.26
Lupin III: Dead or Alive	Movie	1	1996-04-20 00:00:00	7.25
Kochira Katsushikaku Kameari Kouenmae Hashutsujo	TV	373	1996-06-16 00:00:00	7.80
Lupin III: Twilight Gemini no Himitsu	Special	1	1996-08-02 00:00:00	7.10
Shin Hurricane Polymar	OVA	2	1996-09-21 00:00:00	5.92
Cutey Honey F	TV	39	1997-02-15 00:00:00	6.61
Dragon Ball GT: Gokuu Gaiden! Yuuki no Akashi wa Suushinchuu	Special	1	1997-03-26 00:00:00	6.65
Detective Conan Movie 01: The Timed Skyscraper	Movie	1	1997-04-19 00:00:00	7.95
Cutey Honey Flash: The Movie	Movie	1	1997-07-12 00:00:00	6.11
Chokin Senshi Cashman	OVA	1	1997-07-29 00:00:00	5.76
Lupin III: Walther P38	Special	1	1997-08-01 00:00:00	7.41
Dr. Slump	TV	74	1997-11-26 00:00:00	7.07
Dr. Slump: Robot Taiketsu! Shukuteki Dr. Mashirito Toujou / Keen de Yuushou!? Penguin Grand Prix	Special	1	1998-04-01 00:00:00	6.23
Detective Conan Movie 02: The Fourteenth Target	Movie	1	1998-04-18 00:00:00	7.98
Golgo 13: Queen Bee	OVA	1	1998-05-21 00:00:00	6.66
Lupin III: Honoo no Kioku - Tokyo Crisis	Special	1	1998-07-24 00:00:00	7.28
One Piece: Taose! Kaizoku Ganzack	OVA	1	1998-07-26 00:00:00	6.82
Change!! Getter Robo: Sekai Saigo no Hi	OVA	13	1998-08-25 00:00:00	7.76
Devilman Lady	TV	26	1998-10-10 00:00:00	6.77
Devilman Memorial	OVA	1	1999	5.98
Dr. Slump Movie 10: Arale no Bikkuriman	Movie	1	1999-03-06 00:00:00	6.24
Gosho Aoyama's Collection of Short Stories	Special	7	1999-03-17 00:00:00	7.35
Detective Conan Movie 03: The Last Wizard of the Century	Movie	1	1999-04-17 00:00:00	8.12
Detective Conan: Let's Experience the Jomon Period!	OVA	1	1999-06-25 00:00:00	6.77
Tetsuwan Atom: Ao Kishi no Kan	Movie	1	1999-07-20 00:00:00	6.03
Shinsengumi	Movie	1	1999-07-20 00:00:00	6.07
Lupin III: Ai no Da Capo - Fujiko's Unlucky Days	Special	1	1999-07-30 00:00:00	6.93
Dr. Slump: Hoyoyo! Arale no Himitsu Dai Koukai dayo!!	Special	1	1999-09-15 00:00:00	5.84
One Piece	TV	Unknown	1999-10-20 00:00:00	8.53
Uchuu no Kishi Tekkaman Blade OVA: Burning Clock	OVA	1	1999-11-30 00:00:00	6.68
Uchuu no Kishi Tekkaman Blade OVA: Missing Link	OVA	1	1999-11-30 00:00:00	6.16
